6-monthly,Cause of injury,State or territory,Calendar year,Breakdown value,Hospitalisations,Bed days,Breakdown type,Data level
Jul-Dec,Traffic,SA,2013,0-7,21,41,Age group,State/Territory
Jul-Dec,Traffic,SA,2013,17-25,252,1260,Age group,State/Territory
Jul-Dec,Traffic,SA,2013,26-39,264,1301,Age group,State/Territory
Jul-Dec,Traffic,SA,2013,40-64,379,2054,Age group,State/Territory
Jul-Dec,Traffic,SA,2013,65-74,66,428,Age group,State/Territory
Jul-Dec,Traffic,SA,2013,75+,84,535,Age group,State/Territory
Jul-Dec,Traffic,SA,2013,8-16,92,241,Age group,State/Territory
Jul-Dec,Traffic,TAS,2013,17-25,72,241,Age group,State/Territory
Jul-Dec,Traffic,TAS,2013,26-39,56,224,Age group,State/Territory
Jul-Dec,Traffic,TAS,2013,40-64,80,397,Age group,State/Territory
Jul-Dec,Traffic,TAS,2013,65-74,24,130,Age group,State/Territory
Jul-Dec,Traffic,TAS,2013,8-16,25,61,Age group,State/Territory
Jul-Dec,Traffic,ACT,2013,17-25,53,253,Age group,State/Territory
Jul-Dec,Traffic,ACT,2013,26-39,79,231,Age group,State/Territory
Jul-Dec,Traffic,ACT,2013,40-64,88,350,Age group,State/Territory
Jul-Dec,Traffic,ACT,2013,65-74,9,29,Age group,State/Territory
Jul-Dec,Traffic,ACT,2013,8-16,16,28,Age group,State/Territory
Jul-Dec,Traffic,NT,2013,17-25,73,533,Age group,State/Territory
Jul-Dec,Traffic,NT,2013,26-39,96,630,Age group,State/Territory
Jul-Dec,Traffic,NT,2013,40-64,80,531,Age group,State/Territory
Jul-Dec,Traffic,NT,2013,65-74,5,36,Age group,State/Territory
Jul-Dec,Traffic,NT,2013,8-16,39,190,Age group,State/Territory
Jan-Jun,Traffic,NSW,2014,0-7,112,297,Age group,State/Territory
Jan-Jun,Traffic,NSW,2014,17-25,1144,3626,Age group,State/Territory
Jan-Jun,Traffic,NSW,2014,26-39,1343,4489,Age group,State/Territory
Jan-Jun,Traffic,NSW,2014,40-64,1887,8131,Age group,State/Territory
Jan-Jun,Traffic,NSW,2014,65-74,442,2497,Age group,State/Territory
